S. No.,LR No.,LR Date  ,Vehicle Size,Bill To,From Location,To Location,Revenue,TML Invoice No-,TML Invoice Date,Transporter Name,Transport Charges
1272,19679,2022-07-19,22 FT,Avon_Beauty,Selaqui,GUWAHATI,100000.0,292,2022-08-31 00:00:00,VISHAL LOGISTICS,82500.0
1273,19680,2022-07-30,22 FT,Avon_Beauty,Selaqui,DELHI,14000.0,257,2022-08-13 00:00:00,JAI AMBEY LOGISTICS SERVICE,11000.0
1274,21550,2022-07-30,Champion,Avon_Beauty,Rithala ,Faridabad,2800.0,256,2022-08-13 00:00:00,Sunny Tempo,2200.0
1275,24553,2022-07-27,19/20FT,V-Guard-Jainsons,Barhi,Farrukh Nagar,8298.0,287,2022-08-29 00:00:00,Radhey krishna logistics,7800.0
1276,25699,2022-07-16,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,273,2022-08-23 00:00:00,Safeway logistics,11500.0
1277,25700,2022-07-16,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,273,2022-08-23 00:00:00,Delhi Jaipur Tpt.,11500.0
1278,25951,2022-07-16,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,273,2022-08-23 00:00:00,Safeway logistics,11500.0
1279,25952,2022-07-16,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,273,2022-08-23 00:00:00,Delhi Jaipur Tpt.,11500.0
1280,25953,2022-07-16,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,240,2022-08-08 00:00:00,Alpha logistics,11500.0
1281,25954,2022-07-19,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,240,2022-08-08 00:00:00,Delhi Jaipur Tpt.,11500.0
1282,25956,2022-07-20,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,240,2022-08-08 00:00:00,Alpha logistics,11500.0
1283,25957,2022-07-25,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,273,2022-08-23 00:00:00,Delhi Jaipur Tpt.,11500.0
1284,25959,2022-07-25,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,273,2022-08-23 00:00:00,Delhi Jaipur Tpt.,11500.0
1285,25960,2022-07-26,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,273,2022-08-23 00:00:00,Safeway logistics,11500.0
1286,25961,2022-07-27,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,240,2022-08-08 00:00:00,Alpha logistics,11500.0
1287,25962,2022-07-27,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,240,2022-08-08 00:00:00,Alpha logistics,11500.0
1288,25963,2022-07-27,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,273,2022-08-23 00:00:00,Safeway logistics,11500.0
1289,25964,2022-07-27,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,273,2022-08-23 00:00:00,Safeway logistics,0.0
1290,25965,2022-07-31,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,273,2022-08-23 00:00:00,Safeway logistics,11500.0
1291,25966,2022-07-31,32FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,273,2022-08-23 00:00:00,Safeway logistics,11500.0
1292,26251,2022-07-30,32FT,V-Guard_JC International,Barota,Farrukh Nagar,13879.0,287,2022-08-29 00:00:00,Delhi Jaipur Tpt.,11500.0
1293,24884,2022-07-21,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8298.0,239,2022-08-08 00:00:00,Radhey krishna logistics,6800.0
1294,24885,2022-07-22,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8298.0,,,Radhey krishna logistics,6800.0
1295,24886,2022-07-25,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8298.0,,,Radhey krishna logistics,6800.0
1296,24887,2022-07-27,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8298.0,239,2022-08-08 00:00:00,Radhey krishna logistics,6800.0
1297,24888,2022-07-30,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8298.0,239,2022-08-08 00:00:00,Radhey krishna logistics,6800.0
1298,24889,2022-07-30,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8298.0,239,2022-08-08 00:00:00,Radhey krishna logistics,6800.0
1299,22075,2022-07-21,19/20FT,VG_Kundli_Anil Eng.,Kundli,Farrukh Nagar,8298.0,,,Radhey krishna logistics,6800.0
1300,22076,2022-07-23,17FT,VG_Kundli_Anil Eng.,Kundli,Farrukh Nagar,7590.0,243,2022-08-09 00:00:00,Radhey krishna logistics,6400.0
1301,24081,2022-07-22,32FT,VG_Creative _Bahadurgarh,Bahadurgarh,Farrukh Nagar,12198.0,287,2022-08-29 00:00:00,Delhi Jaipur Tpt.,9500.0
1302,22070,2022-07-07,19/20FT,VG_Kundli_Anil Eng.,Kundli,Farrukh Nagar,8298.0,243,2022-08-09 00:00:00,Radhey krishna logistics,6800.0
1303,22071,2022-07-08,19/20FT,VG_Kundli_Anil Eng.,Kundli,Farrukh Nagar,8298.0,243,2022-08-09 00:00:00,Radhey krishna logistics,6400.0
1304,22077,2022-07-26,19/20FT,VG_Kundli_Anil Eng.,Kundli,Farrukh Nagar,8298.0,243,2022-08-09 00:00:00,Radhey krishna logistics,6800.0
1305,22078,2022-07-29,19/20FT,VG_Kundli_Anil Eng.,Kundli,Farrukh Nagar,8298.0,243,2022-08-09 00:00:00,Radhey krishna logistics,6800.0
1306,25967,2022-08-03,32 FT,Ariston_G-Noida_Intech Digital,Noida,Rithala,14500.0,237,2022-08-05 00:00:00,Delhi Jaipur Tpt.,11500.0
1307,25528,2022-08-01,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,270,2022-08-23 00:00:00,NRC TRANSPORT CO-,12000.0
1308,25495,2022-08-02,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,,,NRC TRANSPORT CO-,12000.0
1309,25529,2022-08-02,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,270,2022-08-23 00:00:00,NRC TRANSPORT CO-,12000.0
1310,25496,2022-08-03,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,,,VINAYAK ROADLINES,12000.0
1311,25530,2022-08-03,19 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,10499.0,270,2022-08-23 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
1312,25531,2022-08-04,19 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,10499.0,270,2022-08-23 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
1313,24227,2022-08-04,19 FT,VG_KA-YN-Harid-Roorkee,HARIDAWAR,FARRUKHNAGAR,7999.0,294,2022-08-31 00:00:00,NEW OLAGO LOGISTICS,7500.0
1314,25497,2022-08-04,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,271,2022-08-23 00:00:00,NRC TRANSPORT CO-,12000.0
1315,25498,2022-08-04,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,271,2022-08-23 00:00:00,NRC TRANSPORT CO-,12000.0
1316,25532,2022-08-05,19 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,10499.0,,,NEW AMBALA HARYANA ROADLINES,9400.0
1317,24228,2022-08-05,19 FT,VG_KA-YN-Harid-Roorkee,HARIDAWAR,FARRUKHNAGAR,7999.0,294,2022-08-31 00:00:00,BABA BANKA ROADLINES,7400.0
1318,25499,2022-08-05,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,271,2022-08-23 00:00:00,NRC TRANSPORT CO-,12000.0
1319,25500,2022-07-06,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,295,2022-08-31 00:00:00,NEW HARYANA GOLDEN,12000.0
1320,25533,2022-08-06,19 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,10499.0,,,NEW AMBALA HARYANA ROADLINES,9400.0
1321,24229,2022-08-06,19 FT,VG_KA-YN-Harid-Roorkee,HARIDAWAR,FARRUKHNAGAR,7999.0,294,2022-08-31 00:00:00,SARASWATI LOGISTICS,8400.0
1322,23006,2022-08-06,19 FT,VG_KA-YN-Harid-Roorkee,ROORKEE,FARRUKHNAGAR,7999.0,294,2022-08-31 00:00:00,SHREE BALAJI CANTANOR SERVICE,7400.0
1323,23007,2022-08-06,19 FT,VG_KA-YN-Harid-Roorkee,ROORKEE,AHMADABAD,32000.0,,,VISHAL LOGISTICS,29000.0
1324,25022,2022-08-03,M pikup,HONEYWELL,KHATIMA,DEHRADUN,,,,SAMRATHAL LOGISTICS,15000.0
1325,25023,2022-08-04,M pikup,HONEYWELL,Selaqui,NOIDA,,,,JAI AMBEY LOGISTICS SERVICE,6500.0
1326,25024,2022-08-05,20 FT,HONEYWELL,Selaqui,BILASPUR,10844.0,,,JAI AMBEY LOGISTICS SERVICE,9000.0
1327,24226,2022-08-03,19 FT,VG_KA-YN-Harid-Roorkee,HARIDAWAR,FARRUKHNAGAR,7999.0,301,2022-08-31 00:00:00,BABA BANKA ROADLINES,7400.0
1328,25968,2022-08-04,32 FT,Ariston_G-Noida_Intech Digital,Noida,Rithala,14500.0,248,2022-08-12 00:00:00,Safeway logistics,11500.0
1329,25975,2022-08-08,32 FT,Ariston_G-Noida_Intech Digital,Noida,Rithala,14500.0,249,2022-08-12 00:00:00,Safeway logistics,11500.0
1330,24607,2022-08-09,20FT,Ariston_Kundli_MB Decco,kundli,Rithala,7000.0,249,2022-08-12 00:00:00,Dada Jodha Tpt.,6000.0
1331,25608,2022-08-04,.,Honeywell Automation (I) Ltd.,Jalandhar,Bilaspur,14634.0,,,,
1332,25594,2022-08-01,22FT 12TON,Honeywell Automation (I) Ltd.,Jalandhar,Bilaspur,23050.0,250,2022-08-12 00:00:00,Tera Tera (13-13) Transport Co.,16800.0
1333,25609,2022-08-13,22 ft 18 ton ,Honeywell Automation (I) Ltd.,Jalandhar,Bilaspur,36597.0,268,2022-08-19 00:00:00,Tera Tera (13-13) Transport Co.,27000.0
1334,25534,2022-08-08,19 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,10499.0,270,2022-08-23 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
1335,26551,2022-08-08,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,271,2022-08-23 00:00:00,NRC TRANSPORT CO-,12000.0
1336,26552,2022-08-08,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,,,NRC TRANSPORT CO-,12000.0
1337,26553,2022-08-09,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,,,NRC TRANSPORT CO-,12000.0
1338,22695,2022-08-09,32 FT,VG_KA-YN-Harid-Roorkee,BARWALA,FARRUKHNAGAR,15600.0,286,2022-08-29 00:00:00,NEW HARYANA GOLDEN,13000.0
1339,25535,2022-08-10,19 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,10499.0,270,2022-08-23 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
1340,23008,2022-08-10,32 FT MXL,VG_KA-YN-Harid-Roorkee,ROORKEE,FARRUKHNAGAR,17198.0,300,2022-08-31 00:00:00,VISHAL LOGISTICS,13000.0
1341,24230,2022-08-10,19 FT,VG_KA-YN-Harid-Roorkee,HARIDAWAR,FARRUKHNAGAR,7999.0,294,2022-08-31 00:00:00,BABA BANKA ROADLINES,7400.0
1342,22696,2022-08-11,32 FT,VG_KA-YN-Harid-Roorkee,BARWALA,FARRUKHNAGAR,15600.0,,,NRC TRANSPORT CO-,13000.0
1343,hn,2022-08-13,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,,,NRC TRANSPORT CO-,12000.0
1344,26555,2022-08-13,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,295,2022-08-31 00:00:00,JAI MA DURGA CARRIER,12000.0
1345,26556,2022-08-16,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13499.0,,,VINAYAK ROADLINES,12000.0
1346,24040,2022-08-17,19 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,10499.0,,,NEW AMBALA HARYANA ROADLINES,9400.0
1347,24232,2022-08-17,32 FT,VG_KA-YN-Harid-Roorkee,HARIDAWAR,FARRUKHNAGAR,14499.0,,,VISHAL LOGISTICS,13000.0
1348,17593,2022-08-16,18 MT,VG_KA-YN-Harid-Roorkee,YAMUNANAGAR,FARRUKHNAGAR,20749.0,301,2022-08-31 00:00:00,KHATU SHAYAM ROADLINES,18000.0
1349,17594,2022-08-17,18 MT,VG_KA-YN-Harid-Roorkee,YAMUNANAGAR,haldwani,20749.0,,,BABA  HARIHAR ,18000.0
1350,25607,2022-08-04,25 Mt,Ganesha Ecosphere,Warangal,,59500.0,,,,
1351,26753,2022-08-08,25 Mt,Ganesha Ecosphere,Warangal,,59500.0,,,,
1352,25025,2022-08-08,20 FT,HONEYWELL,Selaqui,BILASPUR,10844.0,,,JAI AMBEY LOGISTICS SERVICE,9000.0
1353,24231,2022-08-10,14 FT,Concept Pharma,ROORKEE,DELHI,7000.0,291,2022-08-31 00:00:00,VISHAL LOGISTICS,5500.0
1354,24233,2022-08-16,19 FT,Concept Pharma,ROORKEE,ZIRAKHPUR,11000.0,291,2022-08-31 00:00:00,VISHAL LOGISTICS,9000.0
1355,26194,2022-08-01,Champion,Ariston_Rithala,Rithala,Shakarpur,1450.0,"0280, 0281",2022-08-26 00:00:00,Sunny Tempo,1100.0
1356,26195,2022-08-01,Tata Ace,Ariston_Rithala,Rithala,Shakarpur,1475.0,"0280, 0281",2022-08-26 00:00:00,Jai Shree Durga,1100.0
1357,26196,2022-08-01,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0280, 0281",2022-08-26 00:00:00,Arun Tempo,1100.0
1358,26197,2022-08-01,14FT,Ariston_Rithala,Rithala,Gurgaon,4800.0,"0280, 0281",2022-08-26 00:00:00,Arun Tempo,3300.0
1359,26198,2022-08-02,Champion,Ariston_Rithala,Rithala,"G, Noida",3700.0,"0280, 0281",2022-08-26 00:00:00,Sant kumar,2500.0
1360,26199,2022-08-02,Champion,Ariston_Rithala,Rithala,Alipur,1450.0,"0280, 0281",2022-08-26 00:00:00,Sunny Tempo,1100.0
1361,26200,2022-08-02,32FT,Ariston_Rithala,Rithala,Sri Nagar,78000.0,,,Mohan Vendor,68000.0
1362,26301,2022-08-02,19FT,Ariston_Rithala,Rithala,Ambala,11150.0,,,Satish Tempo,9500.0
1363,26302,2022-08-02,19FT,Ariston_Rithala,Rithala,Jaipur,12900.0,,,Jai kedar Express,11500.0
1364,26303,2022-08-02,19FT,Ariston_Rithala,Rithala,Jaipur,0.0,,,Jai kedar Express,0.0
1365,26304,2022-08-02,Tata 407,Ariston_Rithala,Rithala,Udham Singh Nagar,14500.0,"0308, 0309",2022-08-31 00:00:00,Jai Shree Durga,1000.0
1366,26305,2022-08-02,Tata 407,Ariston_Rithala,Rithala,Haldwani,0.0,"0308, 0309",2022-08-31 00:00:00,Jai Shree Durga,11000.0
1367,26306,2022-08-02,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0280, 0281",2022-08-26 00:00:00,Sunny Tempo,1100.0
1368,26307,2022-08-03,Champion,Ariston_Rithala,Rithala,Vasant vihar,1450.0,"0280, 0281",2022-08-26 00:00:00,Arun Tempo,1100.0
1369,26308,2022-08-03,Champion,Ariston_Rithala,Rithala,Sohna,3900.0,"0308, 0309",2022-08-31 00:00:00,Rama Tpt.,2600.0
1370,26309,2022-08-03,19FT,Ariston_Rithala,Rithala,Ambala,11150.0,,,Satish Tempo,9500.0
1371,26310,2022-08-03,17FT,Ariston_Rithala,Rithala,Jammu ,33000.0,,,Radhey krishna logistics,27000.0
1372,26311,2022-08-03,19FT,Ariston_Rithala,Rithala,Ambala,11150.0,"0308, 0309",2022-08-31 00:00:00,Jai kedar Express,9500.0
1373,26312,2022-08-03,19FT,Ariston_Rithala,Rithala,Ambala,11150.0,"0282, 0283",2022-08-27 00:00:00,Jai Shree Durga,9500.0
1374,26313,2022-08-03,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,1100.0
1375,26314,2022-08-04,Tata 407,Ariston_Rithala,Rithala,Mandoli,2950.0,"0280, 0281",2022-08-26 00:00:00,Mainpal Tempo,2500.0
1376,26315,2022-08-04,Tata Ace,Ariston_Rithala,Rithala,Jagat Puri,1550.0,"0280, 0281",2022-08-26 00:00:00,Jai Shree Durga,1100.0
1377,26316,2022-08-04,Champion,Ariston_Rithala,Rithala,Greater Kailsh,1450.0,"0308, 0309",2022-08-31 00:00:00,Jai Shree Durga,1100.0
1378,26317,2022-08-04,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,1100.0
1379,26318,2022-08-04,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,1100.0
1380,26319,2022-08-04,Champion,Ariston_Rithala,Rithala,Alipur,1450.0,"0280, 0281",2022-08-26 00:00:00,Sant kumar,1100.0
1381,26320,2022-08-04,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0308, 0309",2022-08-31 00:00:00,Rama Tpt.,1100.0
1382,26321,2022-08-05,Champion,Ariston_Rithala,Rithala,"G, Noida",3700.0,,,Sant kumar,2500.0
1383,26322,2022-08-05,19FT,Ariston_Rithala,Rithala,Ambala,11150.0,"0308, 0309",2022-08-31 00:00:00,Jai kedar Express,9500.0
1384,26323,2022-08-05,Champion,Ariston_Rithala,Rithala,Gurgaon,2900.0,"0280, 0281",2022-08-26 00:00:00,Sunny Tempo,2200.0
1385,26324,2022-08-05,Tata 407,Ariston_Rithala,Rithala,Bhatinda,15000.0,"0280, 0281",2022-08-26 00:00:00,Arun Tempo,12000.0
1386,26325,2022-08-05,19FT,Ariston_Rithala,Rithala,Ambala,11150.0,,,Satish Tempo,9500.0
1387,26326,2022-08-05,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0308, 0309",2022-08-31 00:00:00,Rama Tpt.,1100.0
1388,26327,2022-08-05,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,1100.0
1389,26328,2022-08-05,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,1100.0
1390,26329,2022-08-06,Tata Ace,Ariston_Rithala,Rithala,Shakarpur,1550.0,"0280, 0281",2022-08-26 00:00:00,Arun Tempo,1100.0
1391,26330,2022-08-06,Champion,Ariston_Rithala,Rithala,Shakarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sant kumar,1100.0
1392,26331,2022-08-06,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,1100.0
1393,26332,2022-08-06,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0280, 0281",2022-08-26 00:00:00,Arun Tempo,1100.0
1394,26333,2022-08-06,Champion,Ariston_Rithala,Rithala,Shakarpur,1450.0,"0308, 0309",2022-08-31 00:00:00,Rama Tpt.,1100.0
1395,26334,2022-08-06,Tata 407,Ariston_Rithala,Rithala,Dahradun,11500.0,"0282, 0283",2022-08-27 00:00:00,Jai Shree Durga,9000.0
1396,26335,2022-08-06,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0308, 0309",2022-08-31 00:00:00,Rama Tpt.,1100.0
1397,26336,2022-08-06,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0308, 0309",2022-08-31 00:00:00,Rama Tpt.,1100.0
1398,26337,2022-08-06,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,1100.0
1399,26338,2022-08-06,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,1100.0
1400,26339,2022-08-08,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Arun Tempo,1100.0
1401,26340,2022-08-08,Champion,Ariston_Rithala,Rithala,Alipur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sant kumar,1100.0
1402,26341,2022-08-08,17FT,Ariston_Rithala,Rithala,Jammu ,33000.0,,,Radhey krishna logistics,27000.0
1403,26342,2022-08-09,Tata 407,Ariston_Rithala,Rithala,Kanpur,17300.0,"0282, 0283",2022-08-27 00:00:00,Jai Shree Durga,15000.0
1404,26343,2022-08-09,M. Pick up,Ariston_Rithala,Rithala,Aligarh,8500.0,"0282, 0283",2022-08-27 00:00:00,Jai Shree Durga,6500.0
1405,26344,2022-08-10,14FT,Ariston_Rithala,Rithala,Okhla ,3500.0,"0282, 0283",2022-08-27 00:00:00,Arun Tempo,2700.0
1406,26345,2022-08-10,M. Pick up,Ariston_Rithala,Rithala,Mandoli,2400.0,"0308, 0309",2022-08-31 00:00:00,Rama Tpt.,1500.0
1407,26346,2022-08-10,Champion,Ariston_Rithala,Rithala,Noida,3150.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,2200.0
1408,24918,2022-08-10,Champion,Ariston_Rithala,Noida,Rithala,1575.0,,,Sunny Tempo,1100.0
1409,26347,2022-08-10,Tata 407,Ariston_Rithala,Rithala,Alipur,2950.0,"0282, 0283",2022-08-27 00:00:00,Arun Tempo,2200.0
1410,26348,2022-08-11,Tata Ace,Ariston_Rithala,Rithala,Gurgaon,3250.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,2200.0
1411,26349,2022-08-11,19FT,Ariston_Rithala,Rithala,Ambala,11150.0,"0282, 0283",2022-08-27 00:00:00,Jai kedar Express,9500.0
1412,26350,2022-08-11,17FT,Ariston_Rithala,Rithala,Jalandhar,19000.0,"0308, 0309",2022-08-31 00:00:00,Jai kedar Express,14500.0
1413,26951,2022-08-11,Tata 407,Ariston_Rithala,Rithala,Kanpur,17300.0,"0308, 0309",2022-08-31 00:00:00,Jai kedar Express,15000.0
1414,26952,2022-08-11,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,1100.0
1415,26953,2022-08-13,Champion,Ariston_Rithala,Rithala,Shakarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sant kumar,1100.0
1416,26954,2022-08-13,Tata Ace,Ariston_Rithala,Rithala,Shakarpur,1550.0,"0308, 0309",2022-08-31 00:00:00,Arun Tempo,1100.0
1417,26955,2022-08-13,Tata Ace,Ariston_Rithala,Rithala,Shakarpur,1550.0,"0308, 0309",2022-08-31 00:00:00,Rama Tpt.,1100.0
1418,26956,2022-08-17,14FT,Ariston_Rithala,Rithala,Sohna,5250.0,"0308, 0309",2022-08-31 00:00:00,Jai Shree Durga,1000.0
1419,26957,2022-08-17,14FT,Ariston_Rithala,Rithala,Amritsar,19000.0,"0308, 0309",2022-08-31 00:00:00,Jai kedar Express,15000.0
1420,26958,2022-08-17,Champion,Ariston_Rithala,Rithala,Hauz Khas,1450.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,1100.0
1421,26959,2022-08-17,Tata 407,Ariston_Rithala,Rithala,Dahradun,11500.0,"0308, 0309",2022-08-31 00:00:00,Jai Shree Durga,9000.0
1422,26960,2022-08-17,19FT,Ariston_Rithala,Rithala,Jaipur,12900.0,"0308, 0309",2022-08-31 00:00:00,Jai kedar Express,11500.0
1423,26961,2022-08-17,Tata Ace,Ariston_Rithala,Rithala,Chhatarpur,1550.0,"0308, 0309",2022-08-31 00:00:00,Rama Tpt.,1100.0
1424,26962,2022-08-17,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0282, 0283",2022-08-27 00:00:00,Sunny Tempo,1100.0
1425,26963,2022-08-18,Champion,Ariston_Rithala,Rithala,Gurgaon,2900.0,"0308, 0309",2022-08-31 00:00:00,Sant kumar,2200.0
1426,26964,2022-08-18,M. Pick up,Ariston_Rithala,Rithala,Okhla ,2400.0,"0308, 0309",2022-08-31 00:00:00,Rama Tpt.,1500.0
1427,26965,2022-08-18,32FT,Ariston_Rithala,Rithala,Sri Nagar,78000.0,,,New Haryana Roadways,69000.0
1428,26966,2022-08-18,32FT,Ariston_Rithala,Rithala,Jammu ,2000.0,,,New Haryana Roadways,1000.0
1429,26967,2022-08-18,Tata 407,Ariston_Rithala,Rithala,Gurgaon,4400.0,"0282, 0283",2022-08-27 00:00:00,Arun Tempo,3000.0
1430,26968,2022-08-18,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0308, 0309",2022-08-31 00:00:00,Rama Tpt.,1100.0
1431,26969,2022-08-18,19FT,Ariston_Rithala,Rithala,Ambala,11150.0,,,Satish Tempo,9000.0
1432,25977,2022-08-20,32 FT,Ariston_G-Noida_Intech Digital,Noida,Rithala,14500.0,275,2022-08-23 00:00:00,Delhi Jaipur Tpt.,11500.0
1433,25976,2022-08-19,32 FT,Ariston_G-Noida_Intech Digital,Noida,Rithala,14500.0,274,2022-08-23 00:00:00,Safeway logistics,11500.0
1434,24608,2022-08-20,20FT,Ariston_Kundli_MB Decco,kundli,Rithala,7000.0,275,2022-08-23 00:00:00,Dada Jodha Tpt.,6000.0
1435,25608,2022-08-04,7 ton,Honeywell Automation (I) Ltd.,Jalandhar,Bilaspur,14686.0,,,Tera Tera (13-13) Transport Co.,10500.0
1436,25611,2022-08-18,22 ft 12Ton,Honeywell Automation (I) Ltd.,Jalandhar,Gurgaon,25684.0,276,2022-08-25 00:00:00,Tera Tera (13-13) Transport Co.,19200.0
1437,25612,2022-08-24,19/20 7T,Honeywell Automation (I) Ltd.,Jalandhar,Gurgaon,16183.0,297,2022-08-31 00:00:00,Tera Tera (13-13) Transport Co.,11900.0
1438,25613,2022-08-25,22 ft 12Ton,Honeywell Automation (I) Ltd.,Jalandhar,Gurgaon,26623.0,298,2022-08-31 00:00:00,Tera Tera (13-13) Transport Co.,19200.0
1439,26970,2022-08-19,Tata Ace,Ariston_Rithala,Rithala,Okhla ,1550.0,"0282, 0283",2022-08-27 00:00:00,Arun Tempo,1100.0
1440,26971,2022-08-19,Champion,Ariston_Rithala,Rithala,Farrukh Nagar,3900.0,"0308, 0309",2022-08-31 00:00:00,Sunny Tempo,2500.0
1441,26972,2022-08-19,Champion,Ariston_Rithala,Rithala,Delhi Cantt,1450.0,"0308, 0309",2022-08-31 00:00:00,Sunny Tempo,1400.0
1442,26973,2022-08-19,407,Ariston_Rithala,Rithala,Meerut,9200.0,"0308, 0309",2022-08-31 00:00:00,Jai Shree Durga,4500.0
1443,26974,2022-08-19,Champion,Ariston_Rithala,Rithala,Chhatarpur,1450.0,"0308, 0309",2022-08-31 00:00:00,Rama Tpt.,1100.0
