S. No.,LR No.,LR Date  ,Vehicle Size,Bill To,From Location,To Location,Revenue,TML Invoice No-,TML Invoice Date,Transporter Name,Transport Charges
554,25762,2022-06-13,14 FT,Dr. Oetker,NOIDA,FARIDABAD,7000.0,168,2022-07-07 00:00:00,MISHRI YADAV,6000.0
555,25763,2022-06-13,TATA ACE,Dr. Oetker,NOIDA,JAMMU,12000.0,168,2022-07-07 00:00:00,MISHRI YADAV,9500.0
556,25764,2022-06-13,14 FT,Dr. Oetker,NOIDA,GHAZIABAD,5000.0,168,2022-07-07 00:00:00,MISHRI YADAV,5000.0
557,25765,2022-06-13,14 FT,Dr. Oetker,NOIDA,DEHARADUN,12500.0,168,2022-07-07 00:00:00,MISHRI YADAV,1000.0
558,25766,2022-06-14,TATA ACE,Dr. Oetker,NOIDA,DELHI,3000.0,167,2022-07-07 00:00:00,MISHRI YADAV,2600.0
559,25767,2022-06-14,TATA ACE,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,MISHRI YADAV,0.0
560,25768,2022-06-14,TATA ACE,Dr. Oetker,NOIDA,DELHI,3600.0,167,2022-07-07 00:00:00,MISHRI YADAV,3500.0
561,25769,2022-06-14,TATA ACE,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,MISHRI YADAV,0.0
562,25770,2022-06-14,TATA ACE,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,MISHRI YADAV,0.0
563,25771,2022-06-14,TATA ACE,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,MISHRI YADAV,0.0
564,25772,2022-06-14,Tata Ace,Dr. Oetker,NOIDA,LUCKNOW,11200.0,168,2022-07-07 00:00:00,Mishri Yadav,9300.0
565,25564,2022-06-15,M. Pick up,Honeywell Ele. Dev.& Sys,G.NOIDA,SELAQUI,11000.0,134,2022-06-18 00:00:00,Mishri Yadav,9300.0
566,25773,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri Yadav,2600.0
567,25774,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
568,25784,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
569,25775,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri Yadav,2600.0
570,25776,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
571,25777,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
572,25778,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri Yadav,4000.0
573,25779,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,GURGAON,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
574,25780,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri Yadav,2600.0
575,25781,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
576,25782,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri Yadav,2600.0
577,25783,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
578,25785,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,NOIDA,0.0,167,2022-07-07 00:00:00,TRUMILES,0.0
579,25786,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,GHAZIABAD,2800.0,167,2022-07-07 00:00:00,Mishri Yadav,2600.0
580,25787,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,GHAZIABAD,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
581,25788,2022-06-15,Tata Ace,Dr. Oetker,NOIDA,GHAZIABAD,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
